"claim","kind","status","source_revision","cue_ids","time","source_text"
"The carbon in a tree's organic molecules comes mainly from carbon dioxide in the air, not from the soil.","paraphrase","supported","c873a1b1893a72770ebdcfeef96166cc74905df3bfedaf3374b43e94ccc02555","cue-1;cue-5","00:00–00:24 +1","Look at a tree outside your window. Its trunk feels solid, heavy, and very different from the air around it. Where did that material come from? A common first answer is the soil. Roots do take up water and minerals, but the carbon in a tree's organic molecules comes mainly from carbon dioxide in the air. Photosynthesis is the process that brings that carbon into the living world. None of this means that soil is unimportant. Plants need minerals, water, and a suitable environment for their roots. Those resources support growth, but they play different roles from carbon dioxide. When we say that much of a plant's dry organic material comes from the air, we are following carbon atoms. We are not saying that a plant can live without roots, water, or mineral nutrients."
"Carbon dioxide and water provide atoms, while light supplies energy; light is not an ingredient that turns into carbon atoms.","paraphrase","supported","c873a1b1893a72770ebdcfeef96166cc74905df3bfedaf3374b43e94ccc02555","cue-2","00:24–00:51","We need to separate two questions: where the atoms come from, and where the energy comes from. Carbon dioxide and water provide atoms. Light supplies energy. Light is not an ingredient that turns into carbon atoms. During photosynthesis, the plant uses energy to rearrange matter into molecules that can store chemical energy. Keeping matter and energy separate makes the whole process much easier to understand."
"Stomata let carbon dioxide enter the leaf, water arrives through transport tissues, and chloroplasts hold the light-capturing machinery.","paraphrase","supported","c873a1b1893a72770ebdcfeef96166cc74905df3bfedaf3374b43e94ccc02555","cue-3","00:51–01:20","A leaf brings together the ingredients and structures needed for photosynthesis. Tiny pores, called stomata, allow carbon dioxide to enter. Water arrives through the plant's transport tissues. Inside leaf cells, chloroplasts contain the machinery that captures light and builds organic molecules. A leaf is not simply a green solar panel. It is also a place where gases move, water travels, and many connected chemical reactions take place."
"Leaves often look green because chlorophyll absorbs red and blue light more strongly, so more green light is reflected or transmitted.","paraphrase","supported","c873a1b1893a72770ebdcfeef96166cc74905df3bfedaf3374b43e94ccc02555","cue-4","01:20–01:45","Why do many leaves look green? Chlorophyll absorbs some wavelengths of light more strongly than others, especially in the red and blue regions. A greater proportion of green light is reflected or transmitted, so green is the color that often reaches our eyes. Saying that plants are green because they absorb only green light reverses the explanation. Leaf color is a clue about which light is not absorbed as strongly."
"Soil still matters: roots supply water and minerals, which play different roles from carbon dioxide.","paraphrase","supported","c873a1b1893a72770ebdcfeef96166cc74905df3bfedaf3374b43e94ccc02555","cue-5","01:45–02:11","None of this means that soil is unimportant. Plants need minerals, water, and a suitable environment for their roots. Those resources support growth, but they play different roles from carbon dioxide. When we say that much of a plant's dry organic material comes from the air, we are following carbon atoms. We are not saying that a plant can live without roots, water, or mineral nutrients."
"The oxygen gas released during photosynthesis comes from water split in the light-dependent reactions, not from carbon dioxide.","paraphrase","supported","c873a1b1893a72770ebdcfeef96166cc74905df3bfedaf3374b43e94ccc02555","cue-7;cue-16","02:38–03:07 +1","Here is the question that catches many people: where does the oxygen gas released during photosynthesis come from? It comes from water. During the light-dependent reactions, water molecules are split, providing electrons and protons and releasing oxygen. Carbon dioxide contains oxygen atoms too, which makes it a tempting answer. But the oxygen gas released by these reactions is produced from water, not by simply splitting carbon dioxide. The next time you look at a leaf, ask three questions. Where does its carbon come from? Carbon dioxide in the air. Where does the released oxygen come from? Water split in the light reactions. What does light contribute? Energy that supports the chemistry. Those three questions turn a green object into a story about matter and energy. If you can explain each answer in a different way, you are beginning to connect the mechanism rather than just repeat the vocabulary."
"Splitting water provides electrons and protons for the light reactions and releases oxygen.","paraphrase","supported","c873a1b1893a72770ebdcfeef96166cc74905df3bfedaf3374b43e94ccc02555","cue-7;cue-8","02:38–03:07 +1","Here is the question that catches many people: where does the oxygen gas released during photosynthesis come from? It comes from water. During the light-dependent reactions, water molecules are split, providing electrons and protons and releasing oxygen. Carbon dioxide contains oxygen atoms too, which makes it a tempting answer. But the oxygen gas released by these reactions is produced from water, not by simply splitting carbon dioxide. Carbon dioxide has a different role. Its carbon is incorporated into organic molecules through the Calvin cycle. That does not mean carbon dioxide is unimportant to photosynthesis; it is essential to building the carbon skeletons of those molecules. The useful distinction is this: water supplies the electrons used in the light reactions, and carbon dioxide supplies the carbon used in carbon fixation. The ingredients participate in different parts of the process."
"Carbon dioxide supplies the carbon incorporated into organic molecules through the Calvin cycle (carbon fixation).","paraphrase","supported","c873a1b1893a72770ebdcfeef96166cc74905df3bfedaf3374b43e94ccc02555","cue-6;cue-8","02:11–02:38 +1","Before moving on, imagine following a single carbon atom. It begins in a carbon dioxide molecule outside the leaf. It passes through a stoma and eventually becomes part of an organic molecule inside the plant. That journey is carbon fixation. Next, we will separate carbon's journey from another important story: where the oxygen released by the leaf comes from. The two stories are connected, but they are not the same. Carbon dioxide has a different role. Its carbon is incorporated into organic molecules through the Calvin cycle. That does not mean carbon dioxide is unimportant to photosynthesis; it is essential to building the carbon skeletons of those molecules. The useful distinction is this: water supplies the electrons used in the light reactions, and carbon dioxide supplies the carbon used in carbon fixation. The ingredients participate in different parts of the process."
"A summary equation shows overall inputs and outputs but not the route each atom takes, so it can mislead about the source of oxygen.","paraphrase","supported","c873a1b1893a72770ebdcfeef96166cc74905df3bfedaf3374b43e94ccc02555","cue-9","03:37–04:04","A summary equation compresses many reactions into a single line. It tells us which substances are consumed and produced overall, but it does not show the route taken by each atom. If you want to understand where released oxygen comes from, you must follow the reactions that split water. Looking only at the oxygen symbols in carbon dioxide can lead you to the wrong conclusion. Mechanism matters more than a quick visual guess."
"Open stomata admit carbon dioxide but let water vapor escape, linking gas exchange to water availability.","paraphrase","supported","c873a1b1893a72770ebdcfeef96166cc74905df3bfedaf3374b43e94ccc02555","cue-10","04:04–04:31","Stomata create a trade-off. Opening them allows carbon dioxide to diffuse into the leaf, but water vapor can also escape. Closing them can conserve water while limiting the entry of carbon dioxide. This helps explain why water availability and gas exchange are connected in a living plant. Photosynthesis does not happen in isolation from the environment; the leaf has to manage resources while carrying out its chemistry."
"Light-dependent reactions occur in the thylakoid membranes, while the Calvin cycle occurs in the stroma.","paraphrase","supported","c873a1b1893a72770ebdcfeef96166cc74905df3bfedaf3374b43e94ccc02555","cue-12","05:01–05:31","Now move inside a chloroplast. It contains membranes organized into structures called thylakoids, surrounded by a fluid region called the stroma. The light-dependent reactions take place in the thylakoid membranes. The Calvin cycle takes place in the stroma. These locations help us organize the two connected jobs: converting light energy into useful chemical forms, and using those forms to support the incorporation of carbon into organic molecules."
